-------------6000-------------
5	1
6	4
7	11
8	23
9	57
10	94
11	174
12	247
13	352
14	483
15	582
16	739
17	801
18	778
19	642
20	466
21	291
22	149
23	75
24	26
25	4
27	1
-------------5000-------------
4	2
5	2
6	5
7	10
8	47
9	71
10	131
11	212
12	291
13	399
14	534
15	649
16	658
17	580
18	607
19	362
20	247
21	111
22	52
23	23
24	6
25	1
-------------10000-------------
7	7
8	8
9	23
10	50
11	91
12	147
13	214
14	279
15	451
16	571
17	706
18	877
19	973
20	1094
21	1094
22	1071
23	883
24	595
25	420
26	251
27	115
28	44
29	26
30	8
31	2
-------------20000-------------
7	1
9	4
10	8
11	13
12	37
13	60
14	123
15	204
16	318
17	395
18	535
19	715
20	876
21	1029
22	1222
23	1424
24	1573
25	1688
26	1796
27	1835
28	1771
29	1469
30	1103
31	794
32	468
33	288
34	140
35	73
36	23
37	10
38	5
-------------30000-------------
9	1
10	2
11	7
12	16
13	26
14	58
15	83
16	143
17	223
18	348
19	487
20	620
21	772
22	973
23	1173
24	1340
25	1518
26	1785
27	2015
28	2127
29	2282
30	2404
31	2432
32	2369
33	2030
34	1632
35	1200
36	869
37	508
38	255
39	170
40	71
41	45
42	12
43	3
44	1
